Date;Time;SerialNo;Hardware;ProductionDate;Software;MemorySize;TargetDevice;BatteryDate;Capacity;BattUsage;Voltage;CodeNo;Mode;OpTime;Rtc;Autosend;Readout;ExtProt;Sprint_4ms;Card6with192punches;StopIfBackupFull;AirPlusTimingMode;AirPlusRadioMode;EcoMode;AllowGateMode;Action;

Date;Time;SerialNo;Hardware;ProductionDate;Software;MemorySize;TargetDevice;BatteryDate;Capacity;BattUsage;Voltage;CodeNo;Mode;OpTime;Rtc;Autosend;Readout;ExtProt;Sprint_4ms;Card6with192punches;StopIfBackupFull;AirPlusTimingMode;AirPlusRadioMode;EcoMode;AllowGateMode;Action;
2017-08-07;16:52:19;135883;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;32,7 %;3,19;96;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:52:26;135861;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;36,0 %;3,23;97;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:52:33;135890;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;30,1 %;3,17;98;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:52:38;135866;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;28,8 %;3,18;99;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:52:45;135874;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;30,5 %;3,17;100;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:53:07;135865;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;35,5 %;3,27;101;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:53:13;135884;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;33,6 %;3,38;102;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:53:19;135880;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;37,5 %;3,46;103;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:53:36;135880;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;37,5 %;3,44;103;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:53:44;135871;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;34,0 %;3,35;104;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:53:53;135864;BSF7;2012.05.15.;656;128 K;Remote;2012.05.15.;2000;30,4 %;3,31;105;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:54:01;74459;BSF7;2005.07.13.;656;128 K;Remote;2005.07.13.;2000;21,0 %;3,06;106;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:54:09;72377;BSF7;2004.12.13.;656;128 K;Remote;2010.04.07.;2000;41,0 %;3,18;107;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:54:24;72377;BSF7;2004.12.13.;656;128 K;Remote;2010.04.07.;2000;41,0 %;3,18;107;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:54:35;72365;BSF7;2004.12.13.;656;128 K;Remote;2004.12.13.;2000;27,5 %;3,02;108;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:54:44;103827;BSF7;2008.01.03.;656;128 K;Remote;2008.01.03.;2000;18,3 %;3,48;109;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:54:51;74534;BSF7;2005.07.19.;656;128 K;Remote;2011.02.15.;2000;29,5 %;3,14;110;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:54:59;74482;BSF7;2005.07.13.;656;128 K;Remote;2005.07.13.;2000;11,4 %;2,97;111;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:55:09;74537;BSF7;2005.07.19.;656;128 K;Remote;2005.07.19.;2000;15,5 %;2,99;112;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
